Publication Year;Title;Author;Venue;Included?;IC1;IC2;IC3;EC1;EC2;EC3;EC4;EC5;EC6;Source;Rationale;;
2004;A Design of Web Service availability measurement System based on Mobile Agent;"Bae, Myeong-Hun; Kook, Youn-Gyou; Kim, Woon-Yong; Choi, Young-Keun";Proceedings of the Korea Information Processing Society Conference;No;FALSO;;;;;;;;;OriginalStudy;Not in English;;
2000;Mobile Agent Platforms for Web Databases: A Qualitative and Quantitative Assessment;"Constantinos, George Samaras Marios D Dikaiakos; Liverdos, Spyrou Andreas";Proceedings. First and Third International Symposium on Agent Systems Applications, and Mobile Agents;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on the mobile web.;;
2007;A Study on Personalized Mobile Web News Contents Creation using Keyword Analysis;"한승현; 임영환";한국컴퓨터정보학회논문지;No;FALSO;FALSO;;;;;;;;OriginalStudy;Not about measurerement based experiments on the mobile web. ;Maybe;
2013;The sport experience on the new online channel: an empirical analysis on Web, mobile and social network;"COTTA, TOMMASO; VERGA, RICCARDO";Not provided/POLITECNICO DI MILANO;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2010;COS 90-7: Stable isotope and mercury analysis in the Mobile Bay, AL food web;Showalter, Lauren M;The 95th ESA Annual Meeting;No;;;;;VERO;;;;;OriginalStudy;Full text is not available. ;;
2015;WAP, HTTP and HTML5 Web Socket Architecture Analysis in Contemporary Mobile App Development;Eke, BO;International Journal of Computer Applications Technology and Research Volume 4– Issue 9,;No;;FALSO;;;;;;;;OriginalStudy;Not about measurement based experiments on the mobile web.;Maybe;
2011;A Feasibility Analysis of a Mobile Interface for a Web Site;Hämmäinen, Heikki;Not provided/Aalto University;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2011;Analysis and Application of Design Principle for Mobile Web: Using 19k Wind Website as Example;Chin, Sin-Ho;Practical Applications of Intelligent Systems, Springer;No;;FALSO;;;;;;;;OriginalStudy;Not a measurement based experiment on mobile web entitity during runtime.;;
2010;Icon Design Analysis of Both Desktop Web and Mobile Web-about the icons on the portal sites;"Song, Su-Jin; Kim, Sehwa";Proceedings of the Korea Contents Association Conference;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2013;Design of Emotional Vocabulary Analysis Model for Interview Environment Enhancement Based on Mobile Web;"Kim, Yong-Woo; Park, Seok-Cheon; Hong, Suk-Woo; Kim, Tae-Youb";Proceedings of the Korea Information Processing Society Conference;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2013;Analysis and Design of Web Applications for Use in Conventional and Mobile Computing Devices.;Lassen, Jens Ehlert;Not provided/University of Roskilde,;No;;;;;;;VERO;;;OriginalStudy;Is a project report;;
2013;Caribmap: A Mobile-friendly Web Resource for Caribbean Maps that Facilitates Quantitative Historical Analysis;Hedges, S Blair;Journal of Map & Geography Libraries;No;;FALSO;;;;;;;;OriginalStudy;Not about measurement based experiments on the mobile web.;;
2009;Experience of mobile web-based condition monitoring technology for partial discharge detection and analysis;"Portugues, Iliana; Cumming, Tom; Ferguson, Alastair; Macleod, Finlay; Moore, Phil";CIRED 2009-20th International Conference and Exhibition on Electricity Distribution-Part 1;No;;FALSO;;;;;;;;OriginalStudy;Not about measurement based experiments on the mobile web.;;
2012;Performance analysis of partitioning mobile web services;"Sathya, P; Gobi, R; Kirubakaran, E";2012 International Conference on Emerging Trends in Science, Engineering and Technology (INCOSET), IEEE;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;Maybe;
Not Provided;Design and Implementation of a Web based Compliance Analysis System for Mobile Content;"Lee, Woojin; Cho, Yongsun; Chong, Kiwon";Not provided;No;;;;;;;;;;OriginalStudy;Not about measurement based experiments on the mobile web.;;
2012;The Development of the Mobile Browser and Technical Analysis;Jiang-jing, WANG;Computer Knowledge and Technology;No;;;;;VERO;;;;;OriginalStudy;Full text is not available.;;
2017;User experience assessment on websites/mobile web apps (E-commerce);Teo, Kian Boon;;No;;;;;;;VERO;;;OriginalStudy;Is a Final Year Project Report;;
2017;Angular and the Trending Frameworks of Mobile and Web-based Platform Technologies: A Comparative Analysis;Sultan, Mohamed;Future Technologies Conference (FTC) 2017;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2003;A web-based compliance analysis model for mobile content;"Lee, Woojin; Chong, Kiwon";Proceedings of the International Conference on Internet Computing, IC'03;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2018;WEB-BASED SOLUTION AS A MOBILE GRID ON CLOUD MEDIA SERVICE FOR IMAGE ANALYSIS ON VIDEOS;"Nagawade, Miss Megha; Kotkar, Mangal";Open Access International Journal of Science and Engineering;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2014;Analysis on Responsive Web Design for Different Devices——The Web Mobile Library;"Zhihui, Liu; Jingjing, Xue; Qianyun, Lu";Data Analysis and Knowledge Discovery;No;;;;;VERO;;;;;OriginalStudy;Full text is not available.;;
2012;Classifications and Research Trends of Data Analysis Techniques in Web and Mobile Environment;"Lee, Chan Seob; Lee, Young-Kyu; Kang, Sung-Gi; Cho, Sang Yeop; Jae-Yeon, Choi; Kim, Dong-Hyuk; Kim, Taek-Cheon; Im, Kwang Hyuk";International Information Institute (Tokyo).;No;;;;;VERO;;;;;OriginalStudy;Full text not available.;;
2008;Analysis and Standardization Activity for Mobile Web Best Practice;"Kim, Sunghan; Lee, SY";10th International Conference on Advanced Communication Technology, IEEE;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2015;Comparative analysis for performance measurements of software testing between mobile applications and web applications;Muhamad, Zainab Hassan;Not provided/Universiti Tun Hussein Onn Malaysia;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2001;WEBARM: Mobile Code Based Agent for Web Application Response Measurement—Software Implementations and Analysis;"Elarde, Joseph V; Brewster, Gregory B";IFIP/IEEE International Conference on Management of Multimedia Networks and Services;No;FALSO;;;;;;;;;OriginalStudy;Is not about the mobile web.;;
2016;Cloud Security Quantitative Assessment Based on Mobile Agent and Web Service Interaction;"Khaldi, Abir; Karoui, Kamel; Ghezala, Henda Ben";International Conference on Mobile, Secure, and Programmable Networking;No;FALSO;;;;;;;;;OriginalStudy;Is not about the mobile web.;;
2017;Advancements in programming technologies for desktop, web and mobile applications supporting analysis of agri-food and forest product drying;"Weres, Jerzy; Olek, Wiesław; Kujawa, Sebastian; Nowak, Przemysław";2017 EFITA WCCA CONGRESS;No;;;;;;;VERO;;;OriginalStudy;Is a 1.5 page abstract;;
2015;Constructing the Teaching Experiment System of Web GIS Based on Mobile Development Platform;"Lin-bing, MA; Yu-ten, PENG";Higher Education Forum, Issue 11;No;;;;;VERO;;;;;OriginalStudy;Full text is not available (cnki.com);;
2011;Tweeting in the Classroom: Instant feedback and assessment using a mobile web app;Saravanan, R;American Geophysical Union, Fall Meeting 2011;No;;;;;;;VERO;;;OriginalStudy;Provides only announcement of presentaiton;;
2011;Development of the Mobile Web-based user's Experience Analysis System;"Ko, Yong Jae; Kim, Young Chul; Jo, Hyun Gyu; Kim, Hyung Do; Kang, Bong Sok; Kim, Hyung Jin; Park, Ki Seok; Kim, Seong Tae; Lee, Sung Hun";Proceedings of the Korean Society of Broadcast Engineers Conference;No;;;;VERO;;;;;;OriginalStudy;Not in English (Japanese);;
2014;Development of Mobile Web Application for Skin Status Analysis Service;"Rew, Jehyeok; Jun, Kibec; Suk, Jangmi; Hwang, Eenjun";Proceedings of the Korea Information Processing Society Conference;No;;;;VERO;;;;;;OriginalStudy;Text is not in English (its in Japanese);;
2007;Field Testing, Evaluation and Validation of a Web-Based MedWatch Decision Support System (MWDSS): An Empirical Study of the Application of Mobile Tracking of Epidemiological Disease Trends and Patient Movements in a Military Scenario;"Rodger, James; Pendharkar, Parag C";Eighth World Congress on the Management of eBusiness (WCMeB 2007), IEEE;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment of data collected at runtime. It reports user experience.;;
2019;Comparative Analysis of Native and Web-Based Mobile Application;"Shilpa, KC; Khanum, Salma; Vinutha, KJ; Nithin, GK";International Journal of Emerging Technology in Computer Science & Electronics ;No;;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2017;Aesthetics of Web and Mobile Interfaces of a Learning Management System: A Comparative Analysis;"Kilinc, Nergiz; DELİALİOĞLU, Ömer";Proceedings of the 26th International Conference on Computers in Education.;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement based experiment.;Maybe;
2018;Analysis of Time of Use and Intermodality of Ride-Hailing Services in Singapore Using Mobile Web Traffic Data;Chan, Sau Yee;EAI International Conference on IoT in Urban Space, Springer;No;FALSO;;;;;;;;;OriginalStudy;Does not report measurement based experiment on the mobile web.;;
2019;Web Based Visualization and Analysis Platform for Sensor Data from Mobile Devices;Pfeifle, Tim;Not Provided/TECHNISCHE UNIVERSITÄT MÜNCHEN;No;;;;;;;VERO;;;OriginalStudy;Is a BSc thesis.;;
2014;The Analysis of Information Architecture Methods in Mobile Web Design;"Chen, Xiaoli; Gu, Xiang; Xu, Jinfeng";JOURNAL OF NETWORKS;No;;FALSO;;;;;;;;OriginalStudy;Does not report data collected at runtime.  Reports user experience;Maybe;
2017;QUALITY ANALYSIS OF MOBILE WEB-BASED SCHOOL ACTIVITIES INFORMATION SYSTEM IN SMK NEGERI 2 YOGYAKARTA;"Ghaffur, Taufiq Abdul; Nurkhamid, Nurkhamid";E-JPTE (Jurnal Elektronik Pendidikan Teknik Elektronika);No;;;;;;;;;;OriginalStudy;Not in English (probably Indonesian);;
2019;""" Analysis of the aesthetics of e-commerce web sites on mobile devices";"Kirsch, Antoine; Vanderdonckt, Jean; Burny, Nicolas";Not Provided/UNIVERSITE CATHOLIQUE DE LOUVAIN;No;;;;;;;VERO;;;OriginalStudy;Its a MSc thesis;;
2013;WEB BASED SECURITY ANALYSIS OF OPASS AUTHENTICATION SCHEMES USING MOBILE APPLICATION;"Shruthi, K; Babu, L Naresh";International Journal of Advanced Trends in Computer Science and Engineering,;No;FALSO;;;;;;;;;OriginalStudy;Not about the mobile web.;;
2008;An Analysis of Mobile Web 2.0 as a Information Convergence Technology for Ubiquitous Library Application;Han, Seung-Hee;Journal of Information Management, Korea Institute of Science and Technology Information;No;;;;VERO;;;;;;OriginalStudy;Not in English (is in Korean);;
2018;Analysis of the aesthetics of web sites on a mobile phone device;"Rolin, Nelson; Vanderdonckt, Jean";Not Provided/UNIVERSITE CATHOLIQUE DE LOUVAIN;No;;;;;;;VERO;;;OriginalStudy;Its a MSc thesis;;
2016;Delphi based Auto Narrator for Web and Mobile Traffic Analysis;"Sarao, Paramjot Kaur; Mittal, Puneet; Dhanjal, Gursharan Singh";International Journal of Computer Applications;No;;FALSO;;;;;;;;OriginalStudy;Not about doing measurement based experiments on the mobile web.;;
2017;Usability Measurement Model for Mobile Web Applications;"Salman, Fouad Abdulameer; Deraman, Aziz Bin; Jalil, Masita Binti Abdul; Fahmy, Syahrul";The 10 th Edition of Postgraduate Research Workshop (PRW) at SOFTEC Asia 2017 Conference;No;;FALSO;;;;;;;;OriginalStudy;Does not focus on measurement based experiments during runtime.;Maybe?;
2018;CRITICAL ANALYSIS OF PERFORMANCE OPTIMIZATION OF MOBILE WEB SERVICES IN CLOUD ENVIRONMENT Anil Dudhe1;"Dudhe, Anil; Sherekar, SS; Thakare, VM; SGBAU, Amravati";;No;;;;;;;;;;OriginalStudy;Duplicte;;
2018;Construction safety knowledge sharing by Internet of Things, Web 2.0 and mobile apps: psychological and new institutional economics conceptual analysis;"Li, Rita Yi Man; Chau, Kwong Wing; Ho, Daniel Chi Wing; Lu, Weisheng; Lam, Mandy Wai Yee; Leung, Tat Ho";IOP Conf. Series: Materials Science and Engineering 365;No;;FALSO;;;;;;;;OriginalStudy;Not about measurement based studies.;;
2015;Towards feedback personalization in mobile assessment based on semantic web;"Ghribi, Riadh; Belcadhi, Lilia Cheniti";2015 5th International Conference on Information & Communication Technology and Accessibility (ICTA), IEEE;No;;FALSO;;;;;;;;OriginalStudy;Again not about measurement based studies.;;
Not provided/probably 2012 or later given the references;Interoperable Web-based 3D Analysis of Laser Scanning Data for Location-based Mobile Applications;"HILLEN, Florian; HÖFLE, Bernhard";Institute for Geoinformatics and Remote Sensing, ;No;;FALSO;;;;;;;;OriginalStudy;Not about measurement based studies.;;
2016;Open Sesame! Web Authentication Cracking via Mobile App Analysis;"Liu, Hui; Zhang, Yuanyuan; Li, Juanru; Wang, Hui; Gu, Dawu";APWeb 2016: Web Technologies and Application, Asia-Pacific Web Conference, Springer;No;FALSO;;;;;;;;;OriginalStudy;Not solely about the mobile web.;Maybe;
2018;A Mobile Web Application for Learning Outcome Evaluation: Analysis and Design of Teacher and Student Interfaces;"Wongwatkit, Charoenchai; Prommool, Pakpoom; Chookaew, Sasithorn; Mee-inta, Anongnad";2018 Global Wireless Summit (GWS), IEEE;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments.;;
2011;Real-time Estimation and Analysis of Time-based Accessibility and Usability for Ubiquitous Mobile-Web Services.;Kim, Yung Bok;KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS VOL. 5, ;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments.;Maybe?;
2015;Latent Relation Analysis based Discovering Fraudulent Ranking Identification on Mobile Web Apps;Velurugan, L;Indian Journal of Science and Technology;No;;FALSO;;;;;;;;OriginalStudy;Again not reporting measurement-based experiments.;;
2018;Analysis of User Acceptance Factors for Mobile Apps Browser Using Unified Theory of Acceptance and Use of Technology (UTAUT) and Task Technology Fit (TTF) on Generation Y;"Saputra, Mochammad Chandra; Wardani, Niken Hendrakusma; Trialih, Rahmat; Hijriyati, Atiyyah Lia";2018 International Seminar on Intelligent Technology and Its Applications (ISITIA), IEEE;No;;FALSO;;;;;;;;OriginalStudy;Not about gatherting data during runtime.;Maybe;
2008;Analysis and Construction on Mobile Agent-Based Web System Model;Feng, FENG;Computer Technology and Development;No;;;;;VERO;;;;;OriginalStudy;Full text is not available (cnki.com);;
2014;Mobile User Behavior Pattern Analysis by Associated Tree in Web Service Environment;"Mohbey, Krishna K; Thakur, GS";Journal of Information Science Theory and Practice;No;;FALSO;;;;;;;;OriginalStudy;Does not focus on reporting measurement-based experiments on the mobile web.;;
2002;WebQuilt and Mobile Devices: A Web Usability Testing Analysis Tool for the Mobile Internet;"Matthews, Tara; Waterson, Sarah";Proceeding of The National Conference on Undergraduate Research (NCUR;No;;FALSO;;;;;;;;OriginalStudy;Does not focus on reporting measurement-based experiments on the mobile web.;;
2009;An empirical quality model for web service ontologies to support mobile devices;"Schrimpsher, Dan; Etzkorn, Letha";2009 3rd International Symposium on Empirical Software Engineering and Measurement, IEEE;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments.;;
2010;Performance analysis of Web services in mobile environment using SWN and WAP protocol;"Balde, Fatoumata; Sene, Mbaye; Kasse, Youssou";2010 First International Conference On Parallel, Distributed and Grid Computing (PDGC 2010), IEEE;No;FALSO;;;;;;;;;OriginalStudy;Not about mobile web.;;
2012;Performance Analysis of Socket and REST Web Service OpenAPI for Mobile-Cloud Applications;"Choi, Min; Hong, Jang-Eui";Proceedings of the Korean Information Science Society Conference, Korean Institute of Information Scientists and Engineers;No;;;;VERO;VERO;;;;;OriginalStudy;Not in English (written in Korean). also the full text is not available.;;
2012;Analysis of Mobile Web Applications Based on ASP .NET;Hui, DING;;No;;;;;VERO;;;;;OriginalStudy;Full text is not available (cnki.com);;
2015;Sistem Pencarian Orang Hilang Berbasis Mobile Web dengan Social Network Analysis;"Indriasari, Th Devi; Sidhi, Thomas Adi Purnomo";Seminar Nasional Informatika (SEMNASIF);No;;;;VERO;;;;;;OriginalStudy;Full text not available in English (written in Indonesian);;
2017;An Analysis of Security and Performance Concerns in Mobile Web Application Development: Challenges and Open Issues;"Kunda, Douglas; Chishimba, Mumbi; Mulenga, Mwenge; Chama, Victoria";International Journal of Recent Contributions from Engineering, Science & IT (iJES);No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments that focus on the mobile web.;;
2018;Rethinking Client-Driven Resource Management for Mobile Web: Measurement, Deployment, and Runtime;"Liu, Xuanzhe; Ma, Yun; Lin, Felix Xiaozhu";2018 IEEE 38th International Conference on Distributed Computing Systems;No;;FALSO;;;;;;;;OriginalStudy;Does not report measurement-based experiments on the mobile web.;;
2020;Creation of a 3D web-based tool for cellular mobile network drone coverage analysis;Eritja Olivella, Antoni Josep;Not provided/Universitat Politècnica de Catalunya;No;;;;;;;VERO;;;OriginalStudy;Its a BSc thesis.;;
2019;Security auditing of web security vulnerabilities using program analysis: mobile application recommendation;Yong, Chen Feng;Not provided/Nanyang Technological University;No;;;;;VERO;;;;;OriginalStudy;Full text is not available, is restricted.;;
